Date : 2024-03-14 11:10:16
Directory : e:\project-C++\DATA_Struct
Total : 86 files,  9731 codes, 4264 comments, 192 blanks, all 14187 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         75 |      9,649 |      4,264 |        186 |     14,099 |
| TXT      |          9 |         61 |          0 |          4 |         65 |
| CSV      |          1 |         20 |          0 |          1 |         21 |
| Markdown |          1 |          1 |          0 |          1 |          2 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                    |         86 |      9,731 |      4,264 |        192 |     14,187 |
| . (Files)                                                            |         11 |        237 |         20 |         16 |        273 |
| 0_intruduce                                                          |          9 |        618 |        645 |         23 |      1,286 |
| Graph                                                                |          7 |        904 |        171 |         24 |      1,099 |
| LinearDataStructure                                                  |         24 |      4,008 |      2,025 |         53 |      6,086 |
| SortAlgrithm                                                         |          2 |        214 |         69 |          7 |        290 |
| TreeStructure                                                        |         22 |      2,957 |        994 |         59 |      4,010 |
| mapDictionary                                                        |         11 |        793 |        340 |         10 |      1,143 |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                             | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\project-C++\DATA_Struct\0_intruduce\GCD.cpp                       | C++      |          0 |         49 |          1 |         50 |
| e:\project-C++\DATA_Struct\0_intruduce\MaxSubsum.cpp                 | C++      |        246 |         43 |          7 |        296 |
| e:\project-C++\DATA_Struct\0_intruduce\printFunc.h                   | C++      |        135 |         12 |          2 |        149 |
| e:\project-C++\DATA_Struct\0_intruduce\test0.cpp                     | C++      |          0 |         84 |          5 |         89 |
| e:\project-C++\DATA_Struct\0_intruduce\test02.cpp                    | C++      |          0 |         75 |          4 |         79 |
| e:\project-C++\DATA_Struct\0_intruduce\test1.cpp                     | C++      |          0 |         58 |          2 |         60 |
| e:\project-C++\DATA_Struct\0_intruduce\undo.cpp                      | C++      |        237 |         15 |          2 |        254 |
| e:\project-C++\DATA_Struct\0_intruduce\undo2.cpp                     | C++      |          0 |        145 |          0 |        145 |
| e:\project-C++\DATA_Struct\0_intruduce\undo3.cpp                     | C++      |          0 |        164 |          0 |        164 |
| e:\project-C++\DATA_Struct\Graph\adjacencyWDigraph.hpp               | C++      |        275 |         29 |          3 |        307 |
| e:\project-C++\DATA_Struct\Graph\arrayQueue.hpp                      | C++      |        125 |          2 |          2 |        129 |
| e:\project-C++\DATA_Struct\Graph\graph.hpp                           | C++      |         40 |          3 |          1 |         44 |
| e:\project-C++\DATA_Struct\Graph\linkedDigraph.hpp                   | C++      |        251 |          0 |          1 |        252 |
| e:\project-C++\DATA_Struct\Graph\main1.cpp                           | C++      |        110 |         37 |          0 |        147 |
| e:\project-C++\DATA_Struct\Graph\myExpectation.h                     | C++      |        103 |         10 |         10 |        123 |
